index,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
231,1.282560,1.935672,MGC,0.629370,0.198547,0.807205,0.384322
232,1.261427,2.318539,MGC,0.644301,0.150031,0.812739,0.347854
233,1.558520,1.498688,HWC,0.336437,0.367055,0.524344,0.550101
234,1.254333,2.030413,MGC,0.628868,0.214658,0.788810,0.435844
235,1.308804,1.028729,HWC,0.425343,1.403400,0.556691,1.443718
236,1.393841,1.649173,MGC,0.679858,0.304828,0.947614,0.502715
237,1.482467,2.102436,MGC,0.346087,0.155896,0.513062,0.327762
238,1.151018,1.480957,MGC,0.882984,0.204162,1.016330,0.302355
239,1.499687,2.050172,MGC,0.505752,0.179904,0.758469,0.368834
240,1.132028,1.826310,MGC,0.701572,0.311681,0.794199,0.569226
241,1.341522,1.487868,MGC,0.382668,0.296287,0.513357,0.440836
242,1.149848,1.456101,MGC,0.610099,0.290254,0.701521,0.422639
243,1.409524,1.412686,MGC,0.420034,0.372594,0.592048,0.526358
244,1.565329,1.662729,MGC,0.220588,0.350731,0.345292,0.583170
245,1.130797,1.147988,MGC,0.721743,0.470269,0.816145,0.539863
246,1.713215,2.122015,MGC,0.272176,0.284007,0.466296,0.602667
247,1.210560,2.519605,MGC,0.726468,0.141241,0.879433,0.355871
248,1.428431,1.604065,MGC,0.459695,0.374014,0.656643,0.599942
249,1.300076,1.425034,MGC,0.592347,0.467738,0.770096,0.666542
250,1.278743,1.773246,MGC,0.568295,0.229331,0.726704,0.406660
251,1.339430,1.650044,MGC,0.464861,0.295121,0.622649,0.486962
252,1.238795,1.811841,MGC,0.540097,0.305627,0.669070,0.553747
253,1.270679,1.398415,MGC,0.613198,0.394488,0.779178,0.551657
254,1.233134,1.500325,MGC,0.673579,0.325015,0.830614,0.487628
255,1.268544,1.931290,MGC,0.775320,0.233809,0.983528,0.451552
256,1.590536,1.741155,MGC,0.324630,0.259283,0.516336,0.451452
257,1.169540,1.690752,MGC,0.831742,0.308959,0.972755,0.522372
258,1.449093,1.458985,MGC,0.294184,0.330168,0.426300,0.481710
259,1.064131,1.460687,MGC,1.174296,0.397166,1.249605,0.580135
260,1.233411,1.326099,MGC,0.539989,0.307685,0.666028,0.408021
261,1.235081,1.911569,MGC,0.624328,0.176577,0.771096,0.337539
262,1.232306,1.877657,MGC,0.839516,0.214956,1.034541,0.403614
263,1.342277,1.555325,MGC,0.442843,0.359999,0.594419,0.559916
264,1.323255,1.552090,MGC,0.731701,0.378231,0.968228,0.587049
265,1.294994,1.313606,MGC,0.383995,0.285739,0.497271,0.375348
266,1.177624,2.494070,MGC,0.621610,0.116156,0.732023,0.289701
267,1.148679,1.603205,MGC,0.855667,0.289073,0.982886,0.463443
268,1.227107,1.361385,MGC,0.571884,0.457020,0.701763,0.622181
269,1.352848,1.834895,MGC,0.436658,0.254153,0.590732,0.466344
270,1.130523,1.517929,MGC,1.061470,0.282882,1.200016,0.429395
271,1.263506,1.453776,MGC,0.381307,0.298217,0.481784,0.433541
272,1.247761,1.779737,MGC,0.614489,0.272600,0.766736,0.485157
273,1.321946,2.174595,MGC,0.569112,0.190746,0.752336,0.414794
274,1.509562,1.533825,MGC,0.224689,0.227856,0.339181,0.349492
275,1.414728,1.343584,HWC,0.483268,0.527963,0.683692,0.709363
