index,source_line_no,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
492,2288,1.293281,3.527238,MGC,0.844387,0.121374,1.092029,0.428115
493,2300,1.538516,2.163360,MGC,0.418426,0.216160,0.643755,0.467632
494,2302,1.427233,1.741445,MGC,0.510764,0.305949,0.728980,0.532793
495,2306,1.219958,1.644411,MGC,1.061757,0.376026,1.295300,0.618340
496,2316,1.273941,3.257526,MGC,1.032639,0.115563,1.315521,0.376449
497,2317,1.399368,2.013458,MGC,0.536826,0.395311,0.751218,0.795942
498,2322,2.012777,2.384285,MGC,0.474072,0.200634,0.954202,0.478368
499,2326,1.708187,1.501878,HWC,0.390192,0.386777,0.666521,0.580891
500,2327,1.486071,2.128159,MGC,0.362605,0.188764,0.538856,0.401720
501,2333,1.383247,1.732543,MGC,0.599979,0.397289,0.829919,0.688319
502,2338,1.288304,2.070907,MGC,0.487822,0.302430,0.628463,0.626304
503,2340,1.346303,2.357139,MGC,1.073483,0.336878,1.445234,0.794067
504,2346,1.402085,2.739075,MGC,0.636582,0.186328,0.892542,0.510368
505,2361,1.507121,2.143028,MGC,0.639772,0.295782,0.964214,0.633869
506,2366,1.447648,1.475811,MGC,0.618020,0.840600,0.894676,1.240567
507,2367,1.059215,1.528415,MGC,1.530629,0.327910,1.621266,0.501183
508,2373,1.369170,1.635697,MGC,0.815190,0.402971,1.116133,0.659138
509,2376,1.405917,1.665809,MGC,1.201687,0.667129,1.689472,1.111310
510,2379,1.183795,1.955330,MGC,1.589409,0.250741,1.881534,0.490281
511,2385,1.395584,1.362110,HWC,0.532706,0.508287,0.743436,0.692343
512,2390,1.450756,1.756472,MGC,0.566283,0.287501,0.821539,0.504988
513,2392,1.258946,2.257952,MGC,1.134730,0.264296,1.428564,0.596766
514,2393,1.169767,1.513390,MGC,1.511939,0.366535,1.768617,0.554710
